created_at,full_text,id_str
14/02/2025,"Ya kalo cuman fomo bisa aja ditipu, tapi rata rata yang memang pake hastag itu orang berpendidikan,punya value, emang anak anak yang berpotensi bagi negara tapi ya negara kocak kayak gini gaakan bisa",6537379810744745985
14/02/2025,@Sodako,7297126094753416198
14/02/2025,wkwkwk🗿,6867084352855065601
14/02/2025,😂😂Para manusia kocak,7226550371345433606
14/02/2025,ntar kalo gk ketolong tinggal salahin pemerintah wkwkwk,7241535960683463686
14/02/2025,jadi admin slot 😹,7414513242771653637
14/02/2025,🤣🤣🤣🤣,7213657642094511131
14/02/2025,"belom lagi wajib bisa bahasa jepang, karna bahasa inggris disana gak dipakek",6759852600197891073
14/02/2025,Hahah very funny 🙄,109291759066554368
14/02/2025,iya betul. kenapa? pendaftaran kalo ke jepang yang original atau resmi itu hampir 1.5 tahun paling cepat kalo ngak salah.,6979527028224164866
13/02/2025,maksudnya gue itu yang udah bgebet bgt ke luar negeri tapi tidak cari tau dulu dan asal memilih agen agen yang janjinya di awal manis2 lalu pada mudah tergiur ..bisa berangkat tapi perlindungan para WNI nya kurang karena agen2 yang memberangkatkan mereka seolah lepas tangan kalau ada masalah,7159949208848909338
13/02/2025,kan ada lpk bg yg pakai visa,7213601586403197979
22/03/2025,banyak yang mai Malaysia dah wee 😔😔😔ih geram aku,7477239254398370834
16/02/2025,tula😂,7276325760003982343
16/02/2025,"biasa nk upgrade hidup ke standar dlebih tnggi, alaa mcm kerja oversea la gitu.. kt sana cikgu gaji rendah siaa😔💔",6814289989213815809
14/02/2025,"dulu diorang beria cerita pasal nasionalisme negara kita yg mundur semata ii kita banyak bercakap bahasa english , tengok sekarang jadi apa kat diorang",7066699821151077403
16/02/2025,ya nanti juga teleponan dan memberikan sebagian gaji untuk keluarga,7342160219136623622
16/02/2025,sama rencana sih gitu,7359754896310371334
15/02/2025,Riyal. pengen lanjut kuliah disana... semoga kesempaian sih.,6556571402533797889
13/02/2025,yoii,7089191119036974106
13/02/2025,2222,7080467247923282945
13/02/2025,"doain gw bang biar kesampean ke inggris,sekarang sih baru 20% mendalami b inggris",7143893728695878657
13/02/2025,ahahah fr,7318005230628160517
13/02/2025,aaminn,7077889165128057882
12/02/2025,*insyaALLAH,7244827867345994758
12/02/2025,amiiiin,7131307850613965826
12/02/2025,Aminnn,7415897658415580166
12/02/2025,@kenzienanjaro,7320821443994289157
12/02/2025,aamiin,7209482062940013573
12/02/2025,"lah kan gw cuman nanya kocak, pahami lgi konteks kalimat yg gw balas ke orang diatas itu, kalo niat nya untuk kerja it's okay lah untuk kehidupan dia dan keluarga nya yg ada di indo pas kalo lulus kuliah nanti misal nya, cuman kalo untuk pindah rumah atau hanya untuk senang² disana sendirian buat apa masih iya keluarga, saudara, atau ortu ditinggal begitu saja gitu",6977714249142371329
12/02/2025,"hidup lu gak bakal berkembang kalo selalu terikat sama keluarga apalah itu, capai freedom lu selagi belum kawin",6977195893654520833
12/02/2025,sama njirr Alhamdulillahnya kakaku direktur lpk😭,7270854461894968327
12/02/2025,"semangat bang, jangan sampe ichiman goshen ya",7364567364618880005
12/02/2025,"Keluarga, saudara, ataupun orang tua gimana ga dibawa?",6977714249142371329
12/02/2025,gas bng,7213383309924353050
12/02/2025,sma bang,6956816966725026822
12/02/2025,"ada dana talangan Korea Jerman Jepang, masih mudah gass, keluar negeri emang gak bikin kaya tapi apa2 yang gw inginkan terpenuhi",6893206026242900993
13/02/2025,"kalo singapore gimana kak?, pengennya SMA/kuliah di sana terus lanjutin hidup di sana aja",7284181970081399813
14/02/2025,hah dimana kak tempat nya,7041219529464120325
13/02/2025,aamiinn woi😭,7366166048766706694
12/02/2025,russia #kaburajadulu cewe rusiaa beuhh🗿,6779198899276104705
13/02/2025,"tujuan kabur:
mencari pekerjaan ❌
mencari cewek ✅",6825558039748625409
13/02/2025,sama wkkw,6964623737888211970
12/02/2025,ada jalur pemerintah G2G gratis atau biaya talangan dari agency/lpk,7402413399055877126
13/02/2025,"nah apalagi di Amrik, London lagi, wajib Mateng Mateng bener soal biaya Ama tujuan nya",7185972093657482266
12/02/2025,"ngumpulin duit Ama rencanain matang matang, karena kalo kabur ga ada tujuan buat apa? jika ingin keluar negri cari lah negara yang cocok dengan kemampuan mu, jangan asal kabur ga ada tujuan, rencana kan matang matang jangan langsung kabur aja ga ada tujuan",7185972093657482266
13/02/2025,iya harus siap dulu kalo mau kabur...,7121578305522336794
14/02/2025,"nah, matangkan ilmu mu🗿🔥",7185972093657482266
12/02/2025,klo gini yang patut disalahkan siapa? pemerintah atau masyarakatnya?,6832505238223832066
12/02/2025,pemerintah sih bagi aku,7396259112541832198
13/02/2025,cari negara lain jgn buat semak kat sini lol,7399148637982786578
13/02/2025,"kalau dokumen lengkap & rezeki dia kat Malaysia apa salah nya, please jaga attitude awak",6906129548271485954
13/02/2025,"akak tak nampak lagi dampak nya ramai org asing, terang ii warga asing dah berleluasa dekat Malaysia nanti lama ii hilang bangsa sendiri, saja bagitau, lama ii duduk sini, kahwin anak dpt ic biru haha",6968728156280194050
13/02/2025,kalau orng indo ni dia masih lagi nusantara masih lagi darah sama dkt indo sendiri ada melayu riau yg sama bangsa dgb kite,6728936319470552065
14/02/2025,"kau x faham ni, banyak warga asing nnti masyarakat terjejas.. ramai yg nk apply kerja tpi x dpt sbb full, siapa ambik? warga asing la",7356989291485496321
15/02/2025,jangan ramai2 masuk dalam Malaysia nanti jadi macam israel dengan palestin tuu,7063280416816546842
14/02/2025,tapi mengapa dengan orang china yg ramai masuk dekat malaysia itu termasuk orang asing bukan?,6947954543523922946
14/02/2025,apa salahnya orang asing masuk kerja dengan dokumen lengkap,6947954543523922946
24/02/2025,buat baik boleh tapi jangan berlebihan takut makan diri,7473120245265515521
14/02/2025,"bukan apa bang, sini banyak orang asing cari kerja, rakyat sendiri menganggur, lama ii duduk terus tak nak balik kahwin warga sini lalu anak dpt ic biru 🙂 kat kl banyak warga asing",6968728156280194050
14/02/2025,"lebih kurang mcm korang jugak, sama je",6968728156280194050
14/02/2025,jgn baik sgt...tak pikir ke kesan kat rakyat Malaysia kalau ramai sgt cari rezeki kat sini?...,7399148637982786578
14/02/2025,orang india dan orang china kau tidak menyebut nya orang asing tapi mengapa dengan orang indonesia kau sebut dengan orang asing ?,6947954543523922946
16/02/2025,"biar jela duit dia,bkn kau un",7274488921773065222
14/02/2025,sorry bro saya cuman kontak 2 tahun itupun saya balik kok kalo ga mau terima orang indo gpp janji gua habisini kontak aja,6947954543523922946
16/02/2025,aminn,6947954543523922946
16/02/2025,Bisa. tapi jangan Kasi rusak negara kami,7292699451265123335
16/02/2025,siapa juga yg mau rusak kami ini datang baik baik,6947954543523922946
16/02/2025,Saya memberi amaran aja. bukan ngehina,7292699451265123335
16/02/2025,thanks amaran nya,6947954543523922946
11/02/2025,"typo""Banyak fomo""",6802086572453168130
12/02/2025,"Setelah apinya padam emang masalahnya selesai? Harus bangun lagi, butuh biaya, butuh waktu dan butuh effort lebih. Lu pikir aja lebih gampang mana daripada nyari rumah baru yg nawarin kenyaman lebih?",6858150107746862085
11/02/2025,"gw bg, punya impian kerja di Jepang, tapi gak setuju sama tagar itu, banyak fotonya, lucu rumah lagi kebakaran bukannya di padamkan malah kabur. tapi ini bukan soal rumah",6802086572453168130
12/02/2025,"kita ga punya air untuk memadamkannya bng, air = kuasa",7147004571150992385
13/02/2025,"Perumpaan lu jga lucu, masa rumah kebakaran ga kabur, mau jadi abu? Ya kabur dulu lah, hbis itu baru padamin dari luar",7135508770327086082
11/02/2025,"gw buat ga diijinkan ortu keluar negri kalo ga udah cuss, gaji disini tau sendirilah lu dibawah 2 jta malah wkwkwk 🤣🤣",7132555420736799746
12/02/2025,"ia gua mau buat fokus startup d bidang IT sepertinya sulit di Indo , kalah sm ordal 🤣🤣",6518191087743942658
13/02/2025,Asli sih,6915777573667406849
12/02/2025,reall sihhh,7359989598170383365
12/02/2025,plis iya banget karena buat jadi perawat aja mahal sekolah nya dan lulus nya juga gajinya mostly 3 jutaan 😭,6968459003521958913
12/02/2025,Bener,7284812207060190210
12/02/2025,wkwkwk bener ka gaji kecil pemerintah problematik susah mau ngejar mimpi,7162573568294765570
13/02/2025,lucu,6937262294360523778
13/02/2025,hohoho,6866203732258849793
16/02/2025,ah itu dia,6900194288979821569
13/02/2025,Sip kayak adek gw rencananya begitu bro ortunya udh gamau banyak tingkah disini,7186829366113993729
13/02/2025,"visa nya jepang jga ga tralu sulit, jadi lu nabung dr skrg + bljr bhs jp dkt dkt aj, kek gw🗿 dh niat sih mau kesana cm gw lebih milih ausie aj biar g ribt bhs 🗿",7366623213537297414
13/02/2025,"gasin aja bg, bljr bhs jepang dri skg aja kalo niat, soalnya cuma butuh lulusan n5 /n3 gw lupa lu udh bisa masuk ke jepang dn skolah di sana + klo blok lncr bkl di msukin lg ke kelas jp,",7366623213537297414
12/02/2025,"#kaburajadulu
jgn dulu blm lulus soalnya 😹",7117824722091377690
