Kabupaten/Kota,,,,,,,,,,,,,,,,,,,,
,PDRB Triwulanan Atas Dasar Harga Konstan (2010=100) Menurut Lapangan Usaha di Kabupaten/Kota Seluruh Indonesia (Milyar Rupiah),,,,,,,,,,,,,,,,,,,
,Sektor Primer,,,,,Sektor Sekunder,,,,,Sektor Tersier,,,,,PDRB,,,,
,2025,,,,,2025,,,,,2025,,,,,2025,,,,
,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan
Bangka,934.49,968.37,960.69,-,-,918.98,971.36,997.61,-,-,1058.53,1138.84,1119.54,-,-,2911.99,3078.58,3077.85,-,-
Belitung,629.57,649.68,630.78,-,-,433.92,437.19,446.33,-,-,847.55,910.95,892.01,-,-,1911.03,1997.82,1969.12,-,-
Bangka Barat,665.25,697.1,680.37,-,-,1300.49,1433.59,1476.44,-,-,705.92,731.67,727.8,-,-,2671.66,2862.36,2884.61,-,-
Bangka Tengah,481.43,501.67,527.98,-,-,349.64,330.15,310.2,-,-,879.67,944.53,917.77,-,-,1710.75,1776.35,1755.96,-,-
Bangka Selatan,1015.73,1047.19,1014.07,-,-,195.75,198.86,207.45,-,-,482.26,518.89,508.36,-,-,1693.74,1764.94,1729.89,-,-
Belitung Timur,648.25,667.61,666.96,-,-,384.62,396.13,393.4,-,-,521.78,560.74,543.51,-,-,1554.65,1624.49,1603.87,-,-
Kota Pangkal Pinang,119.61,122.14,115.23,-,-,716.86,722.25,653.55,-,-,1863.17,2004.54,1959.3,-,-,2699.64,2848.93,2728.07,-,-
Karimun,592.86,625.53,659.35,-,-,928.44,968.32,1033.58,-,-,1199.53,1230.41,1233.29,-,-,2720.83,2824.26,2926.22,-,-
Bintan,307.21,331.47,337.92,-,-,3010.03,2983.94,3059.8,-,-,1192.85,1308.89,1337.44,-,-,4510.08,4624.3,4735.16,-,-
Natuna,2785.86,3184.17,3563.45,-,-,299.69,301.16,298.8,-,-,355.84,368.1,365.24,-,-,3441.39,3853.43,4227.49,-,-
Lingga,210.15,225.82,228.96,-,-,169.22,170.09,173.88,-,-,450.91,465.53,470.51,-,-,830.28,861.44,873.35,-,-
Kepulauan Anambas,2174.58,2591.8,2869.51,-,-,188.41,197,200.09,-,-,210.51,231.75,228.22,-,-,2573.5,3020.55,3297.82,-,-
